Actividad Economica,Categoria,Region 1,Region 2
"Agricultura, Ganaderia, Caza, Silvicultura, Acuicultura, Pesca (Nacional)",Pequeña Empresa,1.64,1.64
"Agricultura, Ganaderia, Caza, Silvicultura, Acuicultura, Pesca (Nacional)",Gran Empresa (11 empleados o mas),2.10,2.10
Actividades Bananeras (Nacional),,2.58,2.58
Pesca (Nacional),Artesanal,2.30,2.30
Pesca (Nacional),Industrial,2.65,2.65
Agroindustrias,Pequeña Empresa (parte agricola),1.67,1.67
Agroindustrias,Gran Empresa (parte agricola),2.12,2.12
Agroindustrias,Pequeña Empresa (parte procesamiento),2.37,2.00
Agroindustrias,Gran Empresa (parte procesamiento),3.04,2.49
Explotacion de Canteras - Actividades Areneras (Nacional),,3.20,3.20
Explotacion de Canteras - Minas Metalicas (Nacional),,3.39,3.39
Explotacion de Canteras - Minas No Metalicas (Nacional),,3.20,3.20
Industrias Manufactureras,Pequeña Empresa,2.32,1.95
Industrias Manufactureras,Gran Empresa (16 empleados o mas),3.13,2.58
"Destilacion, Rectificacion y mezcla de Bebidas Alcoholicas; Fabricacion de Pinturas, Barnices y productos de revestimiento",,3.08,2.61
Fabricacion de Cemento y/o Concreto,,3.39,3.24
"Reparacion, Mantenimiento de maquinaria y equipo de refrigeracion",,3.15,2.57
Procesamiento de la Caña de Azucar (Nacional),,3.12,3.12
"Suministro de Electric., Gas, Vapor, Aire Acondicionado (Nacional)",,3.50,3.50
Produccion de Hielo,,3.07,2.53
"Suministro de Agua, Alcantarillado, Gestion de Desechos y Actv. de Saneamiento (Nacional)",,3.50,3.50
Alcantarillado,,3.18,2.63
"Recoleccion, Tratamiento y Eliminacion de Desechos",,3.21,2.67
Procesamiento y Recuperacion de Materiales de desecho,,3.04,2.51
Construccion,,3.51,3.30
Drenaje de Tierras Agricolas y Bosques (Nacional),,2.12,2.12
Comercio al por Mayor y en Comisiones,,3.02,2.48
Venta de productos y subproductos derivados de la Caña de Azucar (Nacional),,3.02,3.02
Tanques de Combustible,,3.04,2.50
Comercio al por Menor,Pequeña Empresa,2.37,1.99
Comercio al por Menor,Gran Empresa (11 empleados o mas),3.02,2.48
Supermercados (empresas con 5 o mas sucursales),,3.09,2.54
Estaciones de combustible,,3.02,2.48
"Zonas Francas, Zonas Economicas Especiales",,3.77,2.52
Zona Libre de Colon,,3.44,
Hoteles,Pequeña Empresa,2.38,1.98
Hoteles,Gran Empresa (11 empleados o mas),2.96,2.43
"Hoteles y Resorts con Franquicias; Hoteles con mas de 200 habitaciones; Hoteles de Ocasion, Moteles, Pensiones y Residenciales",,3.10,2.55
Restaurantes,Pequeña Empresa,2.32,1.95
Restaurantes,Gran Empresa (11 empleados o mas),3.09,2.54
"Discotecas, Bares y Cantinas (Nacional)",,3.40,3.40
Transporte,,3.16,2.61
Transporte de carga en zonas francas o economicas especiales,Pequeña Empresa (hasta 10 trabajadores),3.47,2.58
Transporte de carga en zonas francas o economicas especiales,Gran Empresa (11 empleados o mas),3.49,2.60
"Transporte por Via Acuatica, Via Aerea y Activ. Complem.",Pequeña Empresa (hasta 10 trabajadores),3.16,2.58
